feature,importance
CMG_foreign_detail_transactions_processed_Matched Buy Volume_market_lag_2,2.3071822230491534e-15
CMG_foreign_detail_transactions_processed_price_Volume_lag_2,2.2967738821932926e-15
CMG_foreign_detail_transactions_processed_Net Value_market_lag_6,2.2724877535296173e-15
VN_Index_Actual price change_ma_3_days,2.1649348980190553e-15
CMG_foreign_detail_transactions_processed_Foreign Ownership %_market_lag_5,2.130240428499519e-15
VN_Index_Intraday price (range)_lag_4,2.0816681711721685e-15
CMG_foreign_detail_transactions_processed_consecutive_net_sell_days,2.0643209364124004e-15
Volume,2.0192181260370035e-15
VN_Index_Volume_lag_6,1.9845236565174673e-15
CMG_foreign_detail_transactions_processed_N_stockID_market_lag_2,1.9845236565174673e-15
CMG_foreign_detail_transactions_processed_N_stockID_market_lag_5,1.9845236565174673e-15
Change %,1.908195823574488e-15
CMG_foreign_detail_transactions_processed_Net Volume_market_lag_2,1.8735013540549517e-15
CMG_foreign_detail_transactions_processed_price_Change %_lag_3,1.817990202823694e-15
VN_Index_Volume_lag_4,1.7694179454963432e-15
CMG_foreign_detail_transactions_processed_Matched Buy Volume_market_lag_3,1.762479051592436e-15
CMG_foreign_detail_transactions_processed_consecutive_net_sell_days_ma_7_days,1.7069679003611782e-15
CMG_foreign_detail_transactions_processed_N_stockID_market,1.6861512186494565e-15
CMG_foreign_detail_transactions_processed_Matched Sell Value_market_lag_2,1.6792123247455493e-15
CMG_foreign_detail_transactions_processed_price_Volume_ma_3_days,1.6375789613221059e-15
CMG_foreign_detail_transactions_processed_Total Buy Value_ma_7_days,1.6375789613221059e-15
CMG_foreign_detail_transactions_processed_Matched Buy Value_lag_3,1.5855372570428017e-15
CMG_foreign_detail_transactions_processed_Total Buy Volume_ma_3_days,1.5612511283791264e-15
CMG_foreign_detail_transactions_processed_Remaining Room Volume_market_lag_6,1.5508427875232655e-15
CMG_foreign_detail_transactions_processed_N_stockID_market_lag_6,1.5404344466674047e-15
VN_Index_Intraday price (range)_ma_3_days,1.4259426972529354e-15
CMG_foreign_detail_transactions_processed_Net Value_market_ma_3_days,1.4016565685892601e-15
CMG_foreign_detail_transactions_processed_Matched Buy Value_market_lag_5,1.3253287356462806e-15
VN_Index_Intraday percentage volatility,1.3227266504323154e-15
CMG_foreign_detail_transactions_processed_Matched Buy Value_market_lag_7,1.3114509478384662e-15
CMG_foreign_detail_transactions_processed_total_net_volume_nn_lag_6,1.2906342661267445e-15
VN_Index_Actual price change_lag_2,1.2836953722228372e-15
VN_Index_High,1.27675647831893e-15
VN_Index_Intraday percentage volatility_ma_3_days,1.27675647831893e-15
CMG_foreign_detail_transactions_processed_price_Change %_lag_7,1.2420620087993939e-15
VN_Index_Intraday percentage volatility_lag_2,1.2385925618474403e-15
CMG_foreign_detail_transactions_processed_price_Change %_lag_6,1.2212453270876722e-15
CMG_foreign_detail_transactions_processed_price_Close_lag_5,1.1657341758564144e-15
CMG_foreign_detail_transactions_processed_Net Value_market_lag_1,1.1102230246251565e-15
CMG_foreign_detail_transactions_processed_price_Volume_lag_7,1.0824674490095276e-15
CMG_foreign_detail_transactions_processed_Foreign Ownership %_market_lag_6,1.0755285551056204e-15
CMG_foreign_detail_transactions_processed_price_Change %_lag_2,1.0269562977782698e-15
CMG_foreign_detail_transactions_processed_consecutive_net_buy_days_ma_7_days,1.0130785099704553e-15
VN_Index_Close_vnindex,9.992007221626409e-16
CMG_foreign_detail_transactions_processed_Remaining Room Volume_market_lag_3,9.506284648352903e-16
VN_Index_Volume_ma_7_days,9.43689570931383e-16
CMG_foreign_detail_transactions_processed_Matched Buy Volume_lag_2,8.89913143176102e-16
CMG_foreign_detail_transactions_processed_Foreign Ownership %_market_lag_7,8.604228440844963e-16
CMG_foreign_detail_transactions_processed_Matched Buy Value_market_lag_3,8.465450562766819e-16
CMG_foreign_detail_transactions_processed_Remaining Room Volume_market_lag_4,8.118505867571457e-16
CMG_foreign_detail_transactions_processed_N_stockID_market_lag_3,7.632783294297951e-16
CMG_foreign_detail_transactions_processed_consecutive_net_buy_days_lag_5,7.632783294297951e-16
CMG_foreign_detail_transactions_processed_consecutive_net_sell_days_lag_3,6.38378239159465e-16
CMG_foreign_detail_transactions_processed_total_net_volume_nn_lag_7,5.273559366969494e-16
CMG_foreign_detail_transactions_processed_price_Volume_ma_7_days,5.134781488891349e-16
CMG_foreign_detail_transactions_processed_price_Volume_lag_5,5.134781488891349e-16
Prob_up,4.996003610813204e-16
CMG_foreign_detail_transactions_processed_consecutive_net_buy_days_ma_3_days,4.371503159461554e-16
VN_Index_Volume_ma_3_days,4.371503159461554e-16
CMG_foreign_detail_transactions_processed_price_Volume_lag_1,3.885780586188048e-16
CMG_foreign_detail_transactions_processed_Total Buy Volume_lag_3,3.651592916931179e-16
CMG_foreign_detail_transactions_processed_Matched Sell Value_market_lag_1,3.400058012914542e-16
VN_Index_Volume_lag_7,1.8735013540549517e-16
CMG_foreign_detail_transactions_processed_Remaining Room Volume_market_lag_7,1.457167719820518e-16
VN_Index_Volume_lag_1,1.457167719820518e-16
CMG_foreign_detail_transactions_processed_consecutive_net_buy_days_lag_1,8.326672684688674e-17
VN_Index_Volume,7.632783294297951e-17
