feature,importance
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_CASH/TSNH (daily)_ma_3_days,0.0001316378926812097
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_Debt/E (daily)_lag_6,0.00012438084502334416
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_IT (daily)_lag_4,0.00011735267860789101
price_Volume_ma_7_days,0.00011436177669278256
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GROW_LNST (daily)_lag_5,0.00011051836951802988
price_Change %_ma_7_days,0.00010960608492216081
CMG_financial_data_processed_EPS 4 quý (daily)_ma_7_days,0.0001096044581799231
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/E (daily)_ma_3_days,9.807588817098844e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_IT (daily),9.464293475908545e-05
price_Change %_ma_3_days,9.252969899258064e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TSDLH/TTS (daily)_lag_3,8.455528418430453e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_RT (daily)_ma_3_days,8.247068626437617e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GROW_VCSH (daily)_ma_7_days,7.932125290524279e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_FA_Turn (daily)_lag_2,7.11917280096604e-05
CMG_financial_data_processed_ROAA (daily)_ma_3_days,6.507504807287996e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_GVHB/DTT (daily)_ma_7_days,6.419305922001713e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_CASH/TSNH (daily)_lag_4,6.40248743612574e-05
CMG_financial_data_processed_ROAA (daily)_lag_4,6.161559669231441e-05
CMG_financial_data_processed_ROAA (daily)_lag_1,5.584155241398766e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_ROCE (daily),4.66448794612407e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/E (daily)_lag_2,4.555779161705113e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_CashR (daily)_lag_3,4.347692951922089e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_EQ_Turn (daily)_lag_4,4.328424722007807e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_KTTL (daily)_lag_6,3.8205528255360324e-05
price_Volume,3.7946021985596055e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_CASH/TSNH (daily)_lag_2,3.6614319582077096e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_PT (daily)_lag_1,3.639893085248414e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_PT (daily),3.587750321969808e-05
Prob_up,3.362109074462649e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_GROW_TTS (daily),3.347248331722514e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_TSTC/TSCĐ (daily)_lag_4,3.1755708394760335e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_FA_Turn (daily),2.835237254798908e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_ROCE (daily),2.8070792933031325e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_CPLV/DTT (daily)_lag_2,2.6901394006776514e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TSVH/TSCĐ (daily)_lag_5,2.6215213607854233e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/B (daily),2.5742225460857197e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_ROE (daily),2.495966799129262e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_P/S (daily),2.4681265065394922e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_FA_Turn (daily)_lag_1,2.4623830294148293e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_KTTL (daily)_lag_6,2.4330072469466692e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_PT (daily)_lag_4,2.369166650878633e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/E (daily)_lag_5,2.3109241736890422e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_PT (daily)_lag_3,2.2789447689036513e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_KTTL (daily),2.2764678564736116e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_D/A (daily)_lag_3,2.2021590617332745e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_DPO (daily)_lag_6,2.1431479979420316e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_HTK/TSNH (daily)_lag_4,2.1317218788770774e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GVHB/DTT (daily)_ma_3_days,2.1289407376542058e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_KTTL (daily)_lag_5,2.061816702358695e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_GROW_LNST (daily)_lag_7,2.0471948197098547e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_RT (daily),1.8460910212050587e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_CashR (daily)_lag_3,1.8013961427766777e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_TSTC/TSCĐ (daily),1.7096783947983613e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_PT (daily)_lag_2,1.6749797511234008e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_CPQLDN/DTT (daily)_lag_4,1.6495722128174356e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_GROW_LNTT (daily)_lag_2,1.5905076199302393e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_EPS (daily),1.537999145873744e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_TSCĐ/TTS (daily)_lag_4,1.5157318010232924e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_FA_Turn (daily),1.4938511178543193e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_EQ_Turn (daily),1.4063199299584512e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_CPLV/DTT (daily),1.3567413951909054e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_CPLV/DTT (daily)_lag_5,1.3174089009519881e-05
